gene	chrom	start	end	strand	role	notes
MYC	8	127735434	127741434	+	driver	8q24.21 oncogene; Burkitt / DLBCL DH
BCL2	18	63123346	63320128	-	driver	18q21.33 anti-apoptotic; FL / DLBCL DH
BCL6	3	187420000	187800000	-	driver	3q27.3 TF; DLBCL — window covers MBR (5' upstream) + gene body + ABR
BCL6_MBR	3	187440000	187470000	-	rearr_hotspot	BCL6 Major Breakpoint Region (canonical t(3;14) cluster)
BCL6_ABR	3	187700000	187800000	-	rearr_hotspot	BCL6 Alternative Breakpoint Region
CCND1	11	69641087	69654474	+	driver	11q13.3 cyclin D1; MCL
BCL10	1	85458264	85466361	+	driver	1p22 MALT
MALT1	18	58671498	58754525	+	driver	18q21.32 MALT
IRF4	6	391739	411447	+	driver	6p25.3 PMBL / DUSP22 partner
DUSP22	6	291687	351355	-	driver	6p25.3 cutaneous TCL partner
ALK	2	29192774	29921566	-	driver	2p23.2 ALCL fusion partner
MYB	6	135181308	135219170	+	driver	6q23.3 T-ALL / lymphoma fusion
CCND3	6	41934935	41956141	-	driver	6p21.1 cyclin D3
SOCS1	16	11254417	11256196	-	driver	16p13.13 PMBL hotspot
REL	2	60881989	60928918	+	driver	2p16.1 DLBCL gain
TCF3	19	1609289	1652706	-	driver	19p13.3 B-cell TF
FOXP1	3	71247033	71633153	-	driver	3p13 ABC-DLBCL
BTG1	12	92140304	92141900	-	driver	12q21.33 aSHM target
BTG2	1	203305825	203308477	+	driver	1q32.1 aSHM target
PIM1	6	37137945	37154128	+	driver	6p21.2 aSHM / oncogene
PAX5	9	36833275	37034103	-	driver	9p13.2 B-ALL / PMBL
TP53	17	7668421	7687490	-	driver	17p13.1 TSG
ATM	11	108222829	108369102	+	driver	11q22.3 MCL TSG
TNFRSF14	1	2487078	2495269	+	driver	1p36 FL TSG
PRDM1	6	106086189	106109939	+	driver	6q21 ABC-DLBCL TSG
CIITA	16	10971055	11018791	+	driver	16p13.13 PMBL
PDL1	9	5450503	5470566	+	driver	9p24.1 PMBL CD274
PDL2	9	5510543	5571282	+	driver	9p24.1 PMBL PDCD1LG2
TBL1XR1	3	176908569	177122683	-	driver	3q26.32 ABC-DLBCL
EZH2	7	148807374	148884326	-	driver	7q36 GCB-DLBCL hotspot
CREBBP	16	3725054	3880713	-	driver	16p13.3 DLBCL/FL TSG
EP300	22	41092593	41180077	+	driver	22q13.2 DLBCL TSG
MEF2B	19	19143719	19170610	-	driver	19p13.11 GCB-DLBCL
KMT2D	12	49018975	49059938	-	driver	12q13.12 DLBCL/FL
NOTCH1	9	136494433	136545786	-	driver	9q34.3 CLL/MCL
NOTCH2	1	119911553	120069703	-	driver	1p13.2 MZL
ID3	1	23557931	23560330	-	driver	1p36.12 BL
TCF7L2	10	112950247	113167678	+	driver	10q25.2 lymphoma
IGH	14	105583730	106879812	-	IG_locus	14q32.33 IgH (constant + V genes)
IGH_Emu	14	105863089	105863690	-	IG_locus	IgH Eμ enhancer
IGH_3RR	14	105583730	105863089	-	IG_locus	IgH 3' regulatory region
IGK	2	88857361	90235368	-	IG_locus	2p11.2 IgK (Vκ + Cκ)
IGL	22	22026076	22922913	+	IG_locus	22q11.22 IgL (Vλ + Cλ)
TRA	14	21621904	22552132	+	IG_locus	TCR α (T-cell)
TRB	7	142299011	142813287	+	IG_locus	TCR β (T-cell)
TRG	7	38240024	38368055	+	IG_locus	TCR γ (T-cell)
TRD	14	22422546	22466577	+	IG_locus	TCR δ within TRA
